50AA01-0820-4266	
This data for reference only	
250	0.4723
251	0.4724
252	0.4716
253	0.4716
254	0.4715
255	0.4710
256	0.4710
257	0.4709
258	0.4701
259	0.4700
260	0.4699
261	0.4693
262	0.4692
263	0.4699
264	0.4692
265	0.4691
266	0.4690
267	0.4688
268	0.4688
269	0.4689
270	0.4688
271	0.4687
272	0.4685
273	0.4683
274	0.4685
275	0.4688
276	0.4683
277	0.4680
278	0.4684
279	0.4685
280	0.4681
281	0.4679
282	0.4678
283	0.4679
284	0.4682
285	0.4680
286	0.4680
287	0.4681
288	0.4684
289	0.4683
290	0.4688
291	0.4688
292	0.4688
293	0.4689
294	0.4685
295	0.4690
296	0.4689
297	0.4686
298	0.4690
299	0.4690
300	0.4691
301	0.4692
302	0.4690
303	0.4691
304	0.4691
305	0.4696
306	0.4692
307	0.4694
308	0.4698
309	0.4700
310	0.4699
311	0.4700
312	0.4696
313	0.4698
314	0.4702
315	0.4702
316	0.4702
317	0.4703
318	0.4709
319	0.4700
320	0.4693
321	0.4689
322	0.4682
323	0.4692
324	0.4702
325	0.4710
326	0.4713
327	0.4712
328	0.4715
329	0.4710
330	0.4712
331	0.4716
332	0.4721
333	0.4723
334	0.4724
335	0.4733
336	0.4733
337	0.4732
338	0.4725
339	0.4726
340	0.4730
341	0.4733
342	0.4737
343	0.4740
344	0.4741
345	0.4741
346	0.4739
347	0.4745
348	0.4744
349	0.4746
350	0.4746
351	0.4742
352	0.4752
353	0.4751
354	0.4754
355	0.4757
356	0.4754
357	0.4755
358	0.4763
359	0.4770
360	0.4762
361	0.4764
362	0.4768
363	0.4769
364	0.4773
365	0.4774
366	0.4779
367	0.4785
368	0.4790
369	0.4794
370	0.4796
371	0.4807
372	0.4814
373	0.4817
374	0.4824
375	0.4842
376	0.4851
377	0.4861
378	0.4859
379	0.4796
380	0.4780
381	0.4779
382	0.4779
383	0.4783
384	0.4786
385	0.4789
386	0.4789
387	0.4797
388	0.4793
389	0.4794
390	0.4797
391	0.4798
392	0.4796
393	0.4798
394	0.4803
395	0.4806
396	0.4809
397	0.4815
398	0.4814
399	0.4816
400	0.4814
401	0.4816
402	0.4819
403	0.4821
404	0.4822
405	0.4825
406	0.4824
407	0.4826
408	0.4828
409	0.4832
410	0.4833
411	0.4836
412	0.4839
413	0.4838
414	0.4840
415	0.4840
416	0.4850
417	0.4847
418	0.4850
419	0.4851
420	0.4853
421	0.4856
422	0.4857
423	0.4857
424	0.4862
425	0.4862
426	0.4864
427	0.4865
428	0.4869
429	0.4870
430	0.4872
431	0.4875
432	0.4873
433	0.4877
434	0.4882
435	0.4883
436	0.4884
437	0.4885
438	0.4887
439	0.4888
440	0.4891
441	0.4894
442	0.4899
443	0.4901
444	0.4903
445	0.4905
446	0.4908
447	0.4912
448	0.4909
449	0.4913
450	0.4914
451	0.4914
452	0.4915
453	0.4914
454	0.4915
455	0.4917
456	0.4919
457	0.4920
458	0.4920
459	0.4921
460	0.4921
461	0.4922
462	0.4924
463	0.4924
464	0.4923
465	0.4925
466	0.4927
467	0.4928
468	0.4930
469	0.4932
470	0.4934
471	0.4935
472	0.4938
473	0.4943
474	0.4946
475	0.4946
476	0.4946
477	0.4948
478	0.4951
479	0.4957
480	0.4963
481	0.4973
482	0.4981
483	0.4989
484	0.4998
485	0.5006
486	0.5010
487	0.5011
488	0.5012
489	0.5013
490	0.5012
491	0.5011
492	0.5009
493	0.5010
494	0.5008
495	0.5007
496	0.5006
497	0.5005
498	0.5004
499	0.5005
500	0.5005
501	0.5005
502	0.5004
503	0.5005
504	0.5005
505	0.5007
506	0.5007
507	0.5009
508	0.5011
509	0.5011
510	0.5013
511	0.5014
512	0.5013
513	0.5014
514	0.5015
515	0.5017
516	0.5021
517	0.5022
518	0.5021
519	0.5024
520	0.5026
521	0.5027
522	0.5028
523	0.5030
524	0.5032
525	0.5035
526	0.5037
527	0.5039
528	0.5041
529	0.5043
530	0.5045
531	0.5047
532	0.5048
533	0.5051
534	0.5054
535	0.5056
536	0.5058
537	0.5061
538	0.5063
539	0.5064
540	0.5067
541	0.5069
542	0.5072
543	0.5074
544	0.5075
545	0.5079
546	0.5081
547	0.5082
548	0.5085
549	0.5087
550	0.5090
551	0.5093
552	0.5096
553	0.5095
554	0.5097
555	0.5101
556	0.5102
557	0.5105
558	0.5107
559	0.5108
560	0.5112
561	0.5113
562	0.5113
563	0.5105
564	0.5106
565	0.5110
566	0.5113
567	0.5115
568	0.5117
569	0.5120
570	0.5122
571	0.5124
572	0.5127
573	0.5129
574	0.5132
575	0.5134
576	0.5137
577	0.5139
578	0.5140
579	0.5143
580	0.5146
581	0.5147
582	0.5149
583	0.5150
584	0.5152
585	0.5153
586	0.5156
587	0.5158
588	0.5160
589	0.5161
590	0.5163
591	0.5165
592	0.5167
593	0.5168
594	0.5170
595	0.5171
596	0.5173
597	0.5175
598	0.5176
599	0.5178
600	0.5179
601	0.5182
602	0.5184
603	0.5186
604	0.5188
605	0.5188
606	0.5190
607	0.5191
608	0.5193
609	0.5196
610	0.5198
611	0.5198
612	0.5200
613	0.5202
614	0.5205
615	0.5205
616	0.5208
617	0.5209
618	0.5211
619	0.5212
620	0.5215
621	0.5216
622	0.5217
623	0.5218
624	0.5219
625	0.5223
626	0.5222
627	0.5226
628	0.5225
629	0.5227
630	0.5230
631	0.5231
632	0.5231
633	0.5235
634	0.5236
635	0.5236
636	0.5239
637	0.5240
638	0.5241
639	0.5243
640	0.5245
641	0.5247
642	0.5248
643	0.5248
644	0.5253
645	0.5253
646	0.5255
647	0.5257
648	0.5259
649	0.5259
650	0.5261
651	0.5262
652	0.5264
