Wavelength (nm),intensity
950.5573733,7168
960.8117461,8509
971.0354262,9628
981.2284134,10764
990.1220996,11309
1000.257538,11699
1010.362283,11920
1020.436336,12050
1030.479696,12234
1040.492363,12372
1050.474338,12462
1059.183388,12588
1069.107813,12629
1079.001546,12438
1088.864585,12469
1098.696933,12331
1108.498587,12299
1118.269548,12085
1126.793962,12033
1136.507375,12050
1146.190094,12064
1155.842121,12150
1165.463456,12478
1175.054097,12856
1183.42073,13208
1192.953823,13784
1202.456223,14404
1211.927929,15017
1221.368944,15834
1230.779265,16610
1240.158893,17398
1248.340891,18027
1257.66297,18659
1266.954357,19197
1276.215051,19733
1285.445052,20361
1294.644361,20756
1303.812976,20998
1311.810337,21190
1320.921404,21245
1330.001778,21186
1339.051459,21170
1348.070448,20822
1357.058743,20301
1364.898324,19818
1373.829071,19062
1382.729124,18065
1391.598485,17794
1400.437154,18080
1409.245129,18395
1418.022412,18476
1425.677357,18542
1434.39709,18611
1443.086131,18595
1451.744479,18537
1460.372135,18349
1468.969097,18265
1477.535367,17909
1485.005676,17593
1493.514396,17197
1501.992424,16794
1510.43976,16349
1518.856402,15805
1527.242352,15218
1535.597609,14616
1542.883281,14055
1551.180989,13303
1559.448004,12649
1567.684327,11925
1575.889956,11245
1584.064893,10583
1591.192785,9938
1599.310173,9309
1607.396868,8632
1615.45287,8039
1623.47818,7359
1631.472797,6702
1639.436721,6188
1646.379976,5722
1654.286351,5148
1662.162034,4546
1670.007023,3824
1677.82132,2966
1685.604923,2074
1693.357835,1369
1700.116454,1013
