Wavelength (nm),950.5573733,960.8117461,971.0354262,981.2284134,990.1220996,1000.257538,1010.362283,1020.436336,1030.479696,1040.492363,1050.474338,1059.183388,1069.107813,1079.001546,1088.864585,1098.696933,1108.498587,1118.269548,1126.793962,1136.507375,1146.190094,1155.842121,1165.463456,1175.054097,1183.42073,1192.953823,1202.456223,1211.927929,1221.368944,1230.779265,1240.158893,1248.340891,1257.66297,1266.954357,1276.215051,1285.445052,1294.644361,1303.812976,1311.810337,1320.921404,1330.001778,1339.051459,1348.070448,1357.058743,1364.898324,1373.829071,1382.729124,1391.598485,1400.437154,1409.245129,1418.022412,1425.677357,1434.39709,1443.086131,1451.744479,1460.372135,1468.969097,1477.535367,1485.005676,1493.514396,1501.992424,1510.43976,1518.856402,1527.242352,1535.597609,1542.883281,1551.180989,1559.448004,1567.684327,1575.889956,1584.064893,1591.192785,1599.310173,1607.396868,1615.45287,1623.47818,1631.472797,1639.436721,1646.379976,1654.286351,1662.162034,1670.007023,1677.82132,1685.604923,1693.357835,1700.116454
Reference Signal (unitless),165990,192452,214071,228314,234531,236568,235387,234262,233784,233998,233933,233484,232997,231643,229944,227320,224435,221532,219577,218594,218951,220864,224224,228939,234836,242753,251844,262191,272594,282631,291975,298681,304696,310634,317665,324470,329199,332048,333147,333336,332195,329493,323750,314950,307835,296653,283563,281086,284853,288857,291354,291897,291562,290651,289016,286092,282074,277104,272302,266294,259983,252991,245191,236920,228176,219807,209596,199401,189277,179049,168792,159675,149469,139249,128994,118741,108892,99359,91132,81625,70929,57097,40849,26322,16691,11520
Sample Signal (unitless),123261,142517,158054,168430,173366,175553,175063,174717,174736,175028,175322,175298,175029,174357,173218,170982,168153,164703,161669,158389,154972,152368,152723,156591,162665,171023,179399,187350,195513,203844,211751,217793,223300,228545,234496,239872,243332,245225,245298,243596,238671,229535,218609,208327,200658,190595,178455,170808,164358,157461,153154,152680,154389,156951,158814,159738,161132,163060,164138,164206,163376,161011,157205,152548,147230,142163,136076,130415,124940,118982,112877,107136,100598,93601,86270,78693,71235,64114,57401,49120,40241,30828,21361,14023,9162,6244
Sample Signal (unitless),123321,142516,158087,168460,173518,175445,174995,174757,174841,175152,175395,175349,175122,174440,173099,170979,168199,164845,161791,158404,155025,152436,152687,156716,162734,171206,179385,187336,195476,204039,211945,217919,223314,228607,234449,239944,243435,245319,245382,243658,238697,229753,218824,208821,200989,190772,178803,171085,164563,157687,153630,152987,154705,157288,159065,160139,161503,163248,164320,164519,163592,161210,157516,152733,147485,142351,136369,130716,125059,119112,112953,107282,100708,93659,86370,78860,71542,64192,57339,49074,40317,30892,21419,14037,9185,6454
Sample Signal (unitless),123341,142543,158099,168537,173416,175511,175086,174796,174847,175253,175436,175348,175103,174326,173329,171041,168321,164697,161797,158465,154998,152472,152894,156601,162808,171197,179496,187349,195564,203940,211926,218011,223306,228634,234556,239955,243529,245420,245404,243615,238869,229850,218907,208833,200923,190930,178908,171207,164693,158124,153794,153215,154869,157542,159378,160276,161799,163481,164583,164740,163872,161513,157652,152954,147613,142476,136564,130788,125194,119239,113029,107491,100753,93693,86434,79068,71470,64185,57322,49100,40293,30897,21433,14010,9360,6318
Sample Signal (unitless),123347,142558,158146,168702,173482,175502,175251,174883,174914,175446,175522,175387,175242,174460,173183,171003,168327,164898,161706,158542,155153,152493,152924,156859,162964,171248,179441,187463,195736,204094,212122,218131,223515,228712,234692,240137,243770,245588,245663,243866,239085,230086,219063,209105,201187,190841,179126,171422,164833,158381,154153,153437,155202,157774,159642,160656,162038,163758,164919,165038,164055,161725,158009,153264,147895,142714,136920,130998,125308,119420,113217,107521,100892,93849,86548,79152,71507,64041,57376,49208,40406,31013,21467,14057,9363,6416
Sample Signal (unitless),123363,142574,158124,168501,173563,175492,175088,174846,174888,175240,175445,175408,175115,174450,173314,171062,168235,164796,161749,158444,155064,152555,152879,156723,162830,171300,179502,187415,195634,204021,211984,217989,223554,228719,234615,240032,243573,245432,245662,243901,238990,230004,218995,208925,201149,191042,179061,171607,165193,158476,154348,153654,155358,157996,159766,160753,162239,163937,165022,165183,164254,161769,158053,153253,147950,142881,136791,131061,125516,119469,113257,107590,100919,93900,86615,79034,71566,64268,57421,49181,40240,30877,21379,14095,9297,6425
Sample Signal (unitless),123426,142635,158239,168767,173589,175644,175123,174875,174913,175324,175560,175439,175339,174492,173350,171063,168305,164962,161815,158551,155230,152565,152993,156864,163007,171403,179639,187489,195753,204142,212178,218168,223623,228745,234742,240168,243715,245654,245730,243915,239136,230205,219207,209166,201341,191108,179267,171841,165361,158823,154690,153886,155626,158156,160010,161024,162484,164096,165297,165344,164413,161994,158317,153568,148176,143031,137060,131247,125573,119607,113383,107683,100994,93931,86640,79182,71680,64207,57421,49235,40275,30903,21494,14057,9352,6401
Sample Signal (unitless),123455,142691,158241,168568,173667,175578,175123,174845,174878,175185,175432,175353,175220,174612,173289,171166,168272,164946,161882,158506,155237,152702,152922,156967,162829,171454,179668,187559,195690,204156,212026,218165,223521,228891,234789,240294,243670,245564,245732,244109,239131,230263,218962,208813,201249,190971,179156,171937,165506,158785,154843,154139,155765,158327,160154,161236,162556,164343,165460,165533,164663,162126,158512,153568,148296,143076,137041,131318,125658,119659,113438,107729,101090,94005,86677,79158,71669,64229,57511,49190,40377,30806,21369,13993,9274,6397
Sample Signal (unitless),123356,142627,158140,168553,173581,175444,175258,174886,174938,175378,175461,175397,175157,174532,173113,171019,168259,164900,161673,158508,155222,152550,152967,156888,162845,171401,179426,187632,195749,204218,212081,218134,223673,228730,234751,240142,243747,245604,245799,244002,239240,230355,219238,209118,201289,191065,179418,171906,165761,159300,155162,154396,156010,158589,160474,161385,162805,164587,165643,165755,164671,162382,158486,153709,148316,143253,137286,131366,125703,119853,113561,107817,101156,94130,86820,79350,71717,64158,57469,49237,40336,30896,21422,14065,9381,6432
