Wavelength (nm),950.5573733,960.8117461,971.0354262,981.2284134,990.1220996,1000.257538,1010.362283,1020.436336,1030.479696,1040.492363,1050.474338,1059.183388,1069.107813,1079.001546,1088.864585,1098.696933,1108.498587,1118.269548,1126.793962,1136.507375,1146.190094,1155.842121,1165.463456,1175.054097,1183.42073,1192.953823,1202.456223,1211.927929,1221.368944,1230.779265,1240.158893,1248.340891,1257.66297,1266.954357,1276.215051,1285.445052,1294.644361,1303.812976,1311.810337,1320.921404,1330.001778,1339.051459,1348.070448,1357.058743,1364.898324,1373.829071,1382.729124,1391.598485,1400.437154,1409.245129,1418.022412,1425.677357,1434.39709,1443.086131,1451.744479,1460.372135,1468.969097,1477.535367,1485.005676,1493.514396,1501.992424,1510.43976,1518.856402,1527.242352,1535.597609,1542.883281,1551.180989,1559.448004,1567.684327,1575.889956,1584.064893,1591.192785,1599.310173,1607.396868,1615.45287,1623.47818,1631.472797,1639.436721,1646.379976,1654.286351,1662.162034,1670.007023,1677.82132,1685.604923,1693.357835,1700.116454
Reference Signal (unitless),165990,192452,214071,228314,234531,236568,235387,234262,233784,233998,233933,233484,232997,231643,229944,227320,224435,221532,219577,218594,218951,220864,224224,228939,234836,242753,251844,262191,272594,282631,291975,298681,304696,310634,317665,324470,329199,332048,333147,333336,332195,329493,323750,314950,307835,296653,283563,281086,284853,288857,291354,291897,291562,290651,289016,286092,282074,277104,272302,266294,259983,252991,245191,236920,228176,219807,209596,199401,189277,179049,168792,159675,149469,139249,128994,118741,108892,99359,91132,81625,70929,57097,40849,26322,16691,11520
Sample Signal (unitless),140826,162553,179786,190670,195515,197021,195736,194799,194549,195122,195412,195283,195048,194527,193753,192165,190210,188160,186564,185020,183939,183668,184261,185500,186941,190187,195196,201348,208846,217604,226506,233226,239025,244256,250849,258400,264521,268325,269659,269345,266407,260867,250906,236886,226128,214948,204406,201229,199236,192917,182919,174742,168616,164947,161270,156483,150683,145156,141431,138300,136193,133900,130862,126775,122173,118057,113240,108550,103793,98563,93460,89392,85581,81744,77672,73151,68500,63602,59070,53493,46590,37037,25888,16456,10217,7078
Sample Signal (unitless),140829,162662,179794,190724,195547,196862,195709,194743,194563,195140,195419,195201,195123,194586,193576,192177,190234,188151,186574,185106,184027,183633,184393,185499,187083,190211,194949,201380,208806,217690,226560,233270,238916,244309,250940,258390,264586,268361,269486,269267,266552,260977,250840,236935,226219,214894,204494,201192,199168,192954,183106,174766,168574,164945,161326,156488,150684,145139,141351,138428,136213,133931,130835,126716,122244,117972,113209,108510,103716,98554,93428,89403,85475,81749,77741,73201,68388,63502,59039,53483,46679,37047,25915,16253,10235,7027
Sample Signal (unitless),140780,162499,179762,190823,195482,196915,195755,194888,194632,195170,195403,195257,195246,194456,193631,192072,190202,188096,186592,184978,183939,183570,184352,185445,187183,190094,195103,201274,208914,217626,226579,233213,238941,244204,250808,258360,264591,268326,269647,269118,266531,260906,250843,236794,225960,214846,204273,201012,198969,192903,182902,174581,168511,164832,161239,156517,150776,145016,141425,138273,136153,133904,130793,126811,122172,118042,113262,108560,103719,98556,93513,89387,85500,81803,77673,73233,68427,63602,58973,53555,46648,37096,25954,16415,10283,6992
Sample Signal (unitless),140815,162596,179822,190617,195637,196900,195572,194702,194550,194983,195470,195246,194920,194712,193697,192159,190147,188109,186632,185018,183939,183688,184156,185423,186861,190368,195150,201225,208620,217574,226454,233175,239011,244249,250763,258449,264404,268306,269602,269237,266158,260879,250726,236728,225908,214777,204319,201099,199109,192485,182760,174515,168265,164738,161026,156361,150700,145035,141167,138273,136244,133891,130874,126776,122281,118030,113134,108669,103761,98558,93467,89361,85597,81728,77661,72993,68572,63587,59113,53381,46604,36975,25924,16389,10099,7159
Sample Signal (unitless),140737,162652,179782,190739,195508,196833,195746,194845,194624,195166,195418,195232,195171,194454,193596,192130,190251,188176,186595,185156,183943,183596,184373,185491,187004,190206,195024,201380,208877,217618,226526,233271,239032,244193,250887,258338,264459,268350,269647,269250,266511,260959,250891,236950,226096,214815,204472,201104,199134,192895,182963,174659,168501,164879,161307,156450,150719,145150,141434,138358,136206,133891,130859,126736,122239,118016,113372,108534,103678,98699,93492,89435,85592,81734,77682,73218,68459,63508,59068,53575,46687,37074,25918,16453,10237,6982
Sample Signal (unitless),140795,162556,179798,190685,195669,196860,195667,194823,194558,194986,195462,195257,195005,194684,193600,192269,190146,188204,186655,185057,183993,183793,184178,185533,186978,190390,195042,201356,208755,217661,226487,233277,238949,244313,250844,258415,264503,268427,269698,269406,266365,261014,250867,236885,226094,214946,204475,201163,199308,192650,183015,174698,168509,164891,161218,156524,150696,145183,141299,138339,136353,133904,130890,126827,122284,118183,113091,108731,103720,98677,93518,89459,85702,81695,77727,72983,68630,63550,59149,53404,46679,36990,25935,16424,10062,7140
Sample Signal (unitless),140807,162702,179871,190712,195538,196920,195808,194812,194656,195110,195462,195269,195122,194561,193702,192203,190336,188191,186641,185149,184040,183802,184371,185652,187049,190307,195157,201435,208879,217659,226529,233258,238990,244290,250943,258453,264594,268397,269688,269439,266571,261007,250902,237036,226182,214948,204631,201306,199343,192960,182991,174701,168522,164909,161281,156489,150657,145213,141434,138392,136345,134063,130954,126853,122246,118130,113266,108636,103804,98678,93564,89485,85674,81800,77775,73144,68529,63575,59199,53512,46631,37051,25912,16430,10210,7043
Sample Signal (unitless),140856,162599,179797,190739,195524,196854,195680,194755,194580,195126,195259,195200,195197,194582,193632,192085,190287,188163,186592,185144,184015,183561,184292,185481,187043,190273,195080,201263,208793,217586,226558,233235,238870,244249,250916,258427,264573,268274,269596,269249,266478,260953,250769,236654,225898,214847,204407,201069,199089,192814,182843,174505,168454,164819,161203,156378,150637,145054,141394,138339,136227,133945,130865,126875,122316,118029,113262,108537,103702,98592,93507,89462,85572,81824,77774,73152,68399,63434,58957,53490,46708,37062,25878,16346,10237,6991
