Wavelength (nm),950.5573733,960.8117461,971.0354262,981.2284134,990.1220996,1000.257538,1010.362283,1020.436336,1030.479696,1040.492363,1050.474338,1059.183388,1069.107813,1079.001546,1088.864585,1098.696933,1108.498587,1118.269548,1126.793962,1136.507375,1146.190094,1155.842121,1165.463456,1175.054097,1183.42073,1192.953823,1202.456223,1211.927929,1221.368944,1230.779265,1240.158893,1248.340891,1257.66297,1266.954357,1276.215051,1285.445052,1294.644361,1303.812976,1311.810337,1320.921404,1330.001778,1339.051459,1348.070448,1357.058743,1364.898324,1373.829071,1382.729124,1391.598485,1400.437154,1409.245129,1418.022412,1425.677357,1434.39709,1443.086131,1451.744479,1460.372135,1468.969097,1477.535367,1485.005676,1493.514396,1501.992424,1510.43976,1518.856402,1527.242352,1535.597609,1542.883281,1551.180989,1559.448004,1567.684327,1575.889956,1584.064893,1591.192785,1599.310173,1607.396868,1615.45287,1623.47818,1631.472797,1639.436721,1646.379976,1654.286351,1662.162034,1670.007023,1677.82132,1685.604923,1693.357835,1700.116454
Reference Signal (unitless),165990,192452,214071,228314,234531,236568,235387,234262,233784,233998,233933,233484,232997,231643,229944,227320,224435,221532,219577,218594,218951,220864,224224,228939,234836,242753,251844,262191,272594,282631,291975,298681,304696,310634,317665,324470,329199,332048,333147,333336,332195,329493,323750,314950,307835,296653,283563,281086,284853,288857,291354,291897,291562,290651,289016,286092,282074,277104,272302,266294,259983,252991,245191,236920,228176,219807,209596,199401,189277,179049,168792,159675,149469,139249,128994,118741,108892,99359,91132,81625,70929,57097,40849,26322,16691,11520
Sample Signal (unitless),134689,156069,173427,184952,189849,191346,190392,189525,189070,189582,189798,189486,189088,187992,186399,183674,178884,170677,164748,165513,169285,170545,171441,174605,180572,189847,199522,209259,218521,227161,235109,240815,245759,250737,256389,261390,265017,266874,267134,266380,264307,259677,250252,238694,231217,222172,211295,208296,209443,210988,213064,215149,217417,219069,219497,218769,217271,215081,212534,208562,204110,199066,193567,187066,180041,173362,165140,156947,148864,140501,131936,124161,114961,104580,94122,84458,73895,61345,50010,39492,32936,28041,21488,14632,9741,6678
Sample Signal (unitless),134435,155776,173244,184615,189570,191009,190147,189236,188866,189318,189483,189230,188728,187703,186109,183436,178633,170448,164498,165178,169035,170386,171202,174429,180273,189606,199263,209018,218211,226853,234811,240474,245384,250438,256058,261116,264595,266581,266833,266158,263917,259348,250025,238343,230980,221957,211018,208109,209298,210840,212853,214921,217156,218819,219270,218603,217050,214833,212277,208343,203917,198880,193341,186835,179824,173076,164890,156736,148629,140346,131755,124038,114892,104471,94060,84329,73868,61304,49969,39414,32799,27966,21458,14643,9663,6750
Sample Signal (unitless),134213,155555,172976,184375,189291,190791,189864,188951,188529,189043,189200,188975,188591,187352,185844,183223,178406,170201,164295,165059,168787,170175,171045,174129,180146,189347,199001,208788,217976,226683,234515,240234,245163,250238,255760,260697,264362,266275,266526,265859,263695,259086,249683,238158,230746,221729,210927,207951,209098,210773,212701,214708,217074,218581,219127,218316,216779,214692,212075,208104,203699,198751,193045,186666,179625,172954,164695,156555,148518,140206,131636,123929,114765,104288,93994,84196,73796,61294,49928,39368,32809,27953,21422,14648,9719,6711
Sample Signal (unitless),134005,155249,172676,184058,189000,190558,189562,188672,188289,188779,188910,188711,188316,187099,185579,182929,178146,169989,164058,164827,168574,169858,170791,173863,179873,189008,198744,208509,217709,226365,234239,239914,244760,249928,255458,260503,263982,265961,266134,265449,263336,258848,249459,237845,230431,221478,210679,207638,208877,210510,212477,214522,216915,218369,218826,218115,216569,214375,211883,207840,203451,198491,192803,186419,179414,172786,164572,156340,148396,139978,131477,123833,114631,104226,93836,84131,73669,61178,49829,39333,32856,27966,21397,14603,9660,6696
Sample Signal (unitless),133786,155005,172142,183845,188668,190021,189302,188437,187990,188542,188699,188382,188049,186947,185164,182696,177951,170109,163859,164588,168211,169673,170629,173657,179623,188852,198622,208255,217475,225961,233997,239641,244720,249639,255159,260329,263705,265640,265776,265298,263141,258315,249211,237629,230583,221227,210417,207561,208799,210475,212205,214421,216669,218333,218689,217917,216439,214227,211730,207948,203233,198296,192824,186300,179318,172635,164454,156258,148300,139902,131450,123604,114530,104137,93835,84056,73621,61193,49824,39305,32741,27942,21384,14266,9691,6635
Sample Signal (unitless),133519,154747,172225,183516,188511,190005,188980,188161,187785,188232,188460,188255,187794,186627,185119,182419,177680,169478,163672,164413,168108,169578,170461,173552,179461,188668,198283,207934,217185,225897,233759,239418,244395,249157,254846,259835,263527,265351,265711,264847,262784,258237,248951,237444,230160,221057,210319,207369,208583,210280,212230,214320,216547,218112,218452,217739,216256,214023,211468,207447,203112,198189,192493,186022,179063,172419,164346,156135,148195,139831,131353,123598,114381,103992,93640,84094,73576,61254,49663,39157,32631,27801,21355,14553,9743,6694
Sample Signal (unitless),133519,154690,172119,183380,188384,189915,188942,188018,187704,188150,188361,188114,187683,186662,185084,182434,177615,169376,163589,164316,168112,169465,170222,173375,179325,188566,198292,207891,217000,225705,233570,239246,244267,249274,254753,259706,263368,265235,265516,264924,262681,258113,248876,237313,230030,221040,210215,207322,208707,210233,212188,214170,216419,218023,218370,217720,216173,213927,211309,207409,203059,197998,192415,186037,179067,172419,164186,156096,148137,139697,131249,123561,114394,103989,93571,83871,73555,61095,49769,39210,32677,27795,21350,14579,9592,6711
Sample Signal (unitless),133383,154576,171918,183292,188167,189686,188790,187857,187539,187994,188157,187985,187623,186400,184918,182123,177499,169268,163364,164277,167951,169207,170254,173225,179288,188423,198051,207697,216941,225545,233478,239117,244039,249014,254624,259545,263148,265057,265380,264590,262626,257989,248693,237229,229907,220883,210201,207215,208414,210289,212069,214150,216318,217857,218340,217483,216072,213820,211291,207255,202819,198045,192292,185961,178913,172295,164187,155926,147995,139657,131125,123483,114259,103902,93477,84008,73430,61093,49611,39201,32602,27860,21242,14582,9690,6610
