Wavelength (nm),950.5573733,960.8117461,971.0354262,981.2284134,990.1220996,1000.257538,1010.362283,1020.436336,1030.479696,1040.492363,1050.474338,1059.183388,1069.107813,1079.001546,1088.864585,1098.696933,1108.498587,1118.269548,1126.793962,1136.507375,1146.190094,1155.842121,1165.463456,1175.054097,1183.42073,1192.953823,1202.456223,1211.927929,1221.368944,1230.779265,1240.158893,1248.340891,1257.66297,1266.954357,1276.215051,1285.445052,1294.644361,1303.812976,1311.810337,1320.921404,1330.001778,1339.051459,1348.070448,1357.058743,1364.898324,1373.829071,1382.729124,1391.598485,1400.437154,1409.245129,1418.022412,1425.677357,1434.39709,1443.086131,1451.744479,1460.372135,1468.969097,1477.535367,1485.005676,1493.514396,1501.992424,1510.43976,1518.856402,1527.242352,1535.597609,1542.883281,1551.180989,1559.448004,1567.684327,1575.889956,1584.064893,1591.192785,1599.310173,1607.396868,1615.45287,1623.47818,1631.472797,1639.436721,1646.379976,1654.286351,1662.162034,1670.007023,1677.82132,1685.604923,1693.357835,1700.116454
Reference Signal (unitless),318098,368358,409648,436682,448732,452430,450194,448190,447208,447736,447954,446956,446246,443830,440712,435822,430344,424768,420802,418962,419914,423514,429860,439600,450346,465788,483320,502912,522906,542360,559874,572928,584538,596104,609554,622610,631608,637042,639130,639568,637410,632344,620798,603242,589354,568092,543174,538846,545960,553934,559172,560632,560190,558420,555058,549538,541808,532426,523028,511552,499456,486006,471284,455116,438336,422140,402856,383108,363538,344168,324210,306596,287220,267462,247740,228050,209178,190564,174690,156290,135074,107514,75804,48564,30772,21420
Sample Signal (unitless),282299,325872,360199,381277,390523,393630,392109,391235,391974,393949,395011,394768,394229,393180,391587,387896,383487,378748,375229,371180,367928,366220,366460,368959,373413,381225,391793,404563,418811,435236,452563,466389,479359,491733,505608,519283,529295,535280,536707,534213,526371,513361,493030,467554,449263,428082,404243,391259,379775,361058,337995,320429,306442,298378,292716,286991,281462,277281,274874,272296,271349,269714,266103,259988,252304,243656,232234,220840,209585,199296,189427,180862,171425,161399,151180,140663,130684,120699,111714,101334,89666,74483,55542,36555,22727,15621
Sample Signal (unitless),282250,326130,360120,381493,390530,393444,392050,391242,392235,394119,394854,394833,394526,393242,391230,387806,383714,378668,375109,371400,367917,366056,366676,369127,373683,381366,391552,404317,418940,435502,452528,466455,479397,491606,505966,519210,529215,535174,536645,534110,526686,513528,493191,467661,449261,428191,404661,391370,379754,361528,338295,320567,306746,298590,292795,287131,281633,277024,275030,272572,271365,269916,266093,260170,252224,243695,232451,220696,209651,199123,189445,180939,171306,161513,151226,141015,130580,120694,111701,101436,89809,74736,55469,36538,22851,15474
Sample Signal (unitless),282244,325974,360223,381495,390619,393455,391976,391297,392043,394147,395026,394631,394532,393434,391278,387870,383511,378915,375196,371224,368045,366110,366442,369199,373616,381358,391556,404100,418916,435453,452626,466585,479379,491644,505778,519390,529474,535388,536739,534154,526472,513691,493199,467607,449259,427944,404363,391420,379585,361084,338344,320289,306602,298493,292680,287205,281442,277100,274861,272599,271356,269752,266238,260256,252278,243688,232401,220861,209468,199074,189491,180908,171371,161364,151304,141059,130887,120533,111651,101279,89916,74645,55523,36392,22815,15817
Sample Signal (unitless),282238,325913,360137,381351,390372,393607,392143,391319,392351,393983,395047,394972,394242,393001,391406,388142,383781,378592,375224,371285,367701,366443,366603,368765,373523,381134,391425,404559,418977,435418,452505,466397,479358,491793,505784,519223,529404,535295,536626,534521,526700,513261,493294,467503,448993,428174,404414,391112,380088,361321,337964,320515,306639,298464,292667,287142,281749,277406,275050,272479,271520,269850,265944,260291,252295,243666,232212,220739,209917,199360,189464,181077,171566,161511,151221,140632,130695,120918,111900,101476,89656,74571,55500,36648,22587,15485
Sample Signal (unitless),282127,325966,360109,381406,390404,393279,392076,391259,391944,394036,394919,394501,394431,393229,391226,387777,383643,379004,374976,371156,368057,366037,366623,369334,373502,381254,391421,404349,419057,435451,452615,466384,479249,491508,505805,519506,529473,535335,536443,534143,526633,513752,493175,467572,448982,427977,404392,391327,379537,361345,338407,320313,306497,298371,292747,287125,281372,277178,275118,272632,271283,269875,266368,260381,252317,243612,232510,220698,209484,199281,189519,180941,171325,161545,151452,141058,130677,120371,111678,101448,89973,74754,55395,36272,22865,15489
Sample Signal (unitless),282228,325984,360240,381383,390464,393214,391969,391188,392070,394029,394968,394565,394334,393203,391188,387836,383486,379136,375238,371221,368182,366243,366607,369236,373526,381256,391280,404300,418959,435459,452601,466473,479188,491671,505793,519403,529344,535382,536460,534344,526612,513861,493333,467670,449226,428116,404593,391480,379918,361350,338438,320240,306432,298283,292662,287084,281391,277301,275020,272726,271483,270019,266485,260301,252477,243693,232485,220838,209421,199266,189554,181039,171460,161539,151398,140959,130874,120359,111738,101491,90050,74656,55567,36329,22911,15597
Sample Signal (unitless),282186,325914,360168,381275,390342,393320,391945,391245,392091,394106,394865,394602,394316,393017,391359,387757,383713,378822,374954,371252,367925,365972,366586,369108,373496,381176,391475,404203,418949,435423,452539,466375,479201,491501,505677,519227,529333,535315,536623,534167,526571,513612,493225,467713,449215,428025,404474,391486,379778,361341,338153,320286,306396,298371,292718,287070,281460,277212,275023,272651,271396,269949,266333,260381,252507,243811,232668,220943,209625,199242,189694,181030,171518,161521,151300,141092,130767,120605,111749,101472,89987,74747,55482,36347,22850,15473
Sample Signal (unitless),282122,326053,360159,381401,390586,393441,391877,391189,392077,394132,395008,394620,394354,393160,391418,387737,383581,378844,375027,371277,367981,366017,366655,369107,373605,381298,391518,404269,418969,435398,452516,466342,479117,491565,505698,519364,529356,535411,536624,534117,526566,513707,493217,467735,449209,428056,404619,391623,379732,361339,338332,320419,306512,298582,292822,287185,281716,277398,275075,272562,271463,270027,266307,260462,252439,243720,232647,220940,209742,199355,189636,181147,171532,161496,151453,141081,130798,120731,111754,101420,89876,74688,55553,36435,22981,15589
