Wavelength (nm),950.5573733,960.8117461,971.0354262,981.2284134,990.1220996,1000.257538,1010.362283,1020.436336,1030.479696,1040.492363,1050.474338,1059.183388,1069.107813,1079.001546,1088.864585,1098.696933,1108.498587,1118.269548,1126.793962,1136.507375,1146.190094,1155.842121,1165.463456,1175.054097,1183.42073,1192.953823,1202.456223,1211.927929,1221.368944,1230.779265,1240.158893,1248.340891,1257.66297,1266.954357,1276.215051,1285.445052,1294.644361,1303.812976,1311.810337,1320.921404,1330.001778,1339.051459,1348.070448,1357.058743,1364.898324,1373.829071,1382.729124,1391.598485,1400.437154,1409.245129,1418.022412,1425.677357,1434.39709,1443.086131,1451.744479,1460.372135,1468.969097,1477.535367,1485.005676,1493.514396,1501.992424,1510.43976,1518.856402,1527.242352,1535.597609,1542.883281,1551.180989,1559.448004,1567.684327,1575.889956,1584.064893,1591.192785,1599.310173,1607.396868,1615.45287,1623.47818,1631.472797,1639.436721,1646.379976,1654.286351,1662.162034,1670.007023,1677.82132,1685.604923,1693.357835,1700.116454
Reference Signal (unitless),318098,368358,409648,436682,448732,452430,450194,448190,447208,447736,447954,446956,446246,443830,440712,435822,430344,424768,420802,418962,419914,423514,429860,439600,450346,465788,483320,502912,522906,542360,559874,572928,584538,596104,609554,622610,631608,637042,639130,639568,637410,632344,620798,603242,589354,568092,543174,538846,545960,553934,559172,560632,560190,558420,555058,549538,541808,532426,523028,511552,499456,486006,471284,455116,438336,422140,402856,383108,363538,344168,324210,306596,287220,267462,247740,228050,209178,190564,174690,156290,135074,107514,75804,48564,30772,21420
Sample Signal (unitless),218393,255139,286835,308129,318274,322034,319661,317748,317281,318293,320317,322082,324038,325659,327121,327233,325772,323901,321726,316228,312114,311010,308695,307999,312129,324746,344386,366039,386872,405394,422240,435447,445954,453035,460356,470488,478737,482415,481864,478222,470234,456880,436629,410364,391840,369288,339407,320481,308582,296745,288096,283747,279643,276361,271967,266457,260171,251282,241065,229764,222694,216976,212936,209680,206164,202594,197264,190996,183172,174126,166081,159019,151318,143049,134160,124433,115550,106666,98094,87873,76324,62266,46099,30225,18276,12801
Sample Signal (unitless),218283,255425,286862,308545,318374,322225,319903,317608,317258,318900,320302,322202,324469,325764,327479,326524,326197,323987,321276,316421,312276,310173,309136,308154,312868,325020,344714,365642,386908,405511,422597,435480,446072,452694,460864,470601,478974,482558,482062,477485,470504,457314,436549,411709,393728,368998,340739,321905,307380,297778,289025,284265,280697,277154,272666,267064,260811,251256,241464,229926,222437,217552,213271,209983,206458,203025,198270,191040,183300,174304,166244,159113,151211,143090,134229,125525,115616,106767,97755,88025,76334,62712,46079,30243,18893,12618
Sample Signal (unitless),218231,255552,287055,308502,318468,321916,320016,317923,317304,319006,320522,322050,324344,325926,327104,326907,326173,324487,321442,316762,312749,310763,309241,308580,312828,325371,344438,366233,387155,405965,422842,435810,446325,452985,460969,471096,479407,482938,482380,478273,471105,458330,437671,412841,394044,370393,341783,322443,309288,298723,290640,285283,281495,278238,273745,268029,261410,252089,241947,230652,222908,217689,213771,210209,206762,203146,198401,191550,183174,174678,166511,159518,151552,143305,134637,125529,116016,106396,97932,88148,76674,62665,46077,30051,18792,12602
Sample Signal (unitless),218635,255725,286888,308671,318495,321798,319987,317885,317457,318990,320390,322103,324710,325914,326911,327104,326484,324581,321687,316700,312733,310810,309559,308945,313098,325391,344419,366472,387465,406213,423125,435952,446401,453459,461441,471281,479579,483188,482521,478727,471593,458706,437872,412661,393872,370662,341762,322387,309667,299295,291211,286001,282263,278880,274190,268498,261982,252678,242481,231152,223388,218156,214031,210497,206969,203315,198512,191578,183454,174922,166778,159703,151700,143607,134850,125490,115886,106507,98051,88274,76866,62649,45970,29913,18590,12632
Sample Signal (unitless),218368,255404,287073,308495,318767,322119,320047,318076,317498,318649,320970,322313,324488,325981,327327,327346,325834,324420,321707,316402,312620,311228,309166,308739,312798,325724,344919,366550,387333,406175,423178,436130,446670,453781,461124,471443,479702,483521,483003,479299,471181,458699,437731,412378,394512,370177,341241,323104,310124,298655,291239,286362,282594,279436,274808,269221,262394,253114,242587,231149,223660,217969,214200,210706,207042,203584,198446,192343,183984,174984,166873,159862,152103,143467,134845,125320,116511,106931,98293,88097,76749,62366,46283,30173,18444,13014
Sample Signal (unitless),218470,255845,287259,308638,318653,322164,320142,318080,317452,318847,320583,322386,324531,326170,327396,327375,326398,324611,321875,316910,312904,311411,309640,308836,312975,325597,345027,366777,387728,406408,423403,436405,446946,453810,461704,471796,479991,483747,483244,479498,472247,459296,439094,413741,395199,372035,342684,323643,311619,300541,292311,287557,283600,280170,275633,269758,263149,253762,243179,231588,223942,218454,214410,211049,207426,203841,198829,192272,183913,175175,167064,159868,152164,143865,134949,125395,116166,106779,98371,88388,76873,62619,46082,30051,18514,12677
Sample Signal (unitless),218644,255898,287258,308560,318550,322149,320178,317981,317483,318907,320518,322274,324427,326140,327199,327292,326486,324917,321920,316974,312932,311322,309717,309331,312934,325563,344906,366912,387866,406595,423348,436612,447055,453849,461916,472131,480108,483916,483389,479896,472395,459613,438857,413392,394379,371687,342375,323393,311555,300810,292859,287999,284153,280707,276264,270293,263400,254096,243445,231668,224096,218657,214833,211035,207812,204201,199047,192312,183923,175438,167270,160159,152412,144253,135152,125539,116236,106605,98567,88439,76997,62664,46098,29988,18514,12525
Sample Signal (unitless),218353,255969,287261,308757,319027,322095,320385,317837,317632,319010,320829,322343,324403,326371,327222,327225,326352,324612,321993,317080,312921,311455,309767,309158,313066,326132,344833,367074,387687,406802,423620,436664,447283,453982,462023,471998,480200,484242,483629,480093,472483,459888,439209,414320,395706,371740,343405,324286,312075,301180,293499,288561,284719,281535,276845,270681,264277,254561,243752,232110,224210,218806,214898,211370,207981,204326,199282,192661,184374,175662,167281,160558,152408,144076,135310,125743,116517,107080,98581,88560,76940,62692,46248,30131,18575,12681
